749,837,1001,514,1165,749,837,1001,514,1165,749,837,1001,1165,1282,749,837,1001,1165,1231,749,837,1001,1165,1231
0.17453,0.12217,0,-0.50615,-0.10472,0.17453,0.12217,0,-0.50615,-0.10472,0.17453,0.12217,0,-0.10472,-0.31416,0.17453,0.12217,0,-0.10472,-0.17453,0.17453,0.12217,0,-0.10472,-0.17453
1,3,6,8,9,1,3,6,8,9,1,2,4,6,9,3,4,6,8,9,3,4,6,8,9
